Cases,Sweep Angle,AR,St,Kd,Mean_CT,Mean_CL,Mean_CPO,Efficiency,A/l*,CT_RMS,CL_RMS,CPo_RMS
Pitch-Heave,20,4,0.3,0.3,0.235656739,0.000724323,0.748479702,31.48472007,0.5,0.357106103,1.176904653,0.646179424
Pitch-Heave,30,4,0.3,0.3,0.229143406,-0.001066152,0.779369072,29.40114176,0.5,0.363909544,1.250673132,0.696512809
Pitch-Heave,40,4,0.3,0.3,0.236955918,-0.000483422,0.807077869,29.35973432,0.5,0.353549938,1.292748957,0.730230842
Twist-Roll,20,4,0.3,0.3,0.029528721,0.000114489,0.0675282,43.7279846,0.5,0.042292047,0.208655625,0.062237614
Twist-Roll,30,4,0.3,0.3,0.026563365,-1.33E-05,0.071088963,37.36636979,0.5,0.034642382,0.206256698,0.057387457
Twist-Roll,40,4,0.3,0.3,0.023384521,-5.90E-05,0.074397783,31.43174509,0.5,0.031635846,0.207616738,0.056839076
Pitch,20,4,0.3,0.3,-0.255125714,-0.000780851,0.376946889,0,0.5,0.297170455,1.347811745,0.325740601
Pitch,30,4,0.3,0.3,-0.29424809,-0.00134542,0.383470116,0,0.5,0.307159654,1.396775291,0.354557207
Pitch,40,4,0.3,0.3,-0.334521524,0.000849652,0.378890566,0,0.5,0.306961259,1.420441335,0.3731832
Heave,20,4,0.3,0.3,0.032783802,0.000295154,1.099702543,2.981151824,0.5,0.068455163,1.648571914,0.82949438
Heave,30,4,0.3,0.3,0.036701211,-0.000590621,1.200370185,3.05749105,0.5,0.067185052,1.793280887,0.888521466
Heave,40,4,0.3,0.3,0.036592111,-0.007339273,1.283683758,2.850554967,0.5,0.053397695,1.886797315,0.935438098
Roll,20,4,0.3,0.3,-0.000164077,0.002216152,0.232148608,0,0.5,0.010939191,0.583915263,0.188723447
Roll,30,4,0.3,0.3,-0.003134532,0.003962724,0.214265371,0,0.5,0.00950308,0.574645969,0.176322353
Roll,40,4,0.3,0.3,-0.00724101,3.18E-05,0.205377647,0,0.5,0.009094573,0.576396387,0.171827742
Pitch-Heave,20,2,0.3,0.3,0.192099018,-0.000294454,0.643382456,29.85767125,0.5,0.267646661,0.918825453,0.537634542
Pitch-Heave,30,2,0.3,0.3,0.173727235,-0.000513971,0.61644671,28.18203613,0.5,0.251967607,0.87088947,0.515530918
Pitch-Heave,40,2,0.3,0.3,0.181970538,-0.000534044,0.637074449,28.56346505,0.5,0.26984274,0.948566949,0.551619656
Twist-Roll,20,8,0.6,0.6,0.158723632,-0.000305826,0.364239451,43.57672729,0.5,0.243345294,0.595488257,0.369453891
Twist-Roll,30,8,0.6,0.6,0.163047411,0.000649312,0.396975616,41.0723995,0.5,0.217616941,0.581595174,0.366983657
Twist-Roll,40,8,0.6,0.6,0.160571,-0.001668694,0.422689195,37.98795937,0.5,0.182982772,0.552743238,0.365364561
Roll,20,8,0.6,0.6,0.020647807,0.002414695,1.422872746,1.451135181,0.5,0.039451942,1.927180217,1.247215821
Roll,30,8,0.6,0.6,0.005499929,-0.002799501,1.386058525,0.396803536,0.5,0.036675442,1.871828957,1.258257535
Roll,40,8,0.6,0.6,-0.011113413,0.001216772,1.332767551,0,0.5,0.032580976,1.775705665,1.224416727
Pitch-Heave,20,4,0.46,1.772,0.794631299,-0.028861214,5.45886864,14.55670308,0.12979684,0.486106358,6.84647508,5.744566438
Pitch-Heave,30,4,0.46,1.772,0.805098052,-0.010013888,5.668610504,14.20274072,0.12979684,0.482226141,6.429981473,5.340249076
Pitch-Heave,40,4,0.46,1.772,0.764500254,0.003817533,5.564044831,13.74000888,0.12979684,0.47330132,5.837858799,4.887123914
Twist-Roll,20,4,0.46,1.772,0.119047015,-0.000541128,0.72316141,16.46202543,0.12979684,0.08727507,1.708048532,0.789936829
Twist-Roll,30,4,0.46,1.772,0.097607545,-0.000831809,0.669616766,14.57662801,0.12979684,0.073330898,1.710369107,0.742348495
Twist-Roll,40,4,0.46,1.772,0.084859875,0.000805188,0.628866626,13.4940974,0.12979684,0.065879751,1.704799886,0.705719362
Pitch,20,4,0.46,1.772,0.239746376,-0.004849319,1.377070409,17.40988509,0.12979684,0.189493259,3.510233626,1.449943741
Pitch,30,4,0.46,1.772,0.211451346,0.000494845,1.343460453,15.73930557,0.12979684,0.158195578,3.165129669,1.302979482
Pitch,40,4,0.46,1.772,0.169579839,0.001625266,1.208896852,14.02765167,0.12979684,0.122270436,2.686173762,1.112946042
Heave,20,4,0.46,1.772,0.281797681,-0.008525694,4.258481774,6.617327391,0.12979684,0.149939033,6.97035848,5.282734574
Heave,30,4,0.46,1.772,0.302755415,0.022653335,4.378274014,6.914948989,0.12979684,0.173258731,6.492871258,4.91284494
Heave,40,4,0.46,1.772,0.315025519,-0.038270215,4.374796003,7.200919044,0.12979684,0.20559995,5.877891794,4.439536174
Roll,20,4,0.46,1.772,0.035521353,-0.006329413,0.776234356,4.576111976,0.12979684,0.025923566,2.030155106,0.889626083
Roll,30,4,0.46,1.772,0.031247692,-0.002031125,0.748562362,4.174360598,0.12979684,0.023524981,2.025165567,0.856866005
Roll,40,4,0.46,1.772,0.027279479,-0.000601368,0.681484888,4.002946983,0.12979684,0.023642732,2.040515662,0.802332123
